iter,l_tr,l_te,acc_tr,acc_te
100,0.15425730675458907,0.15236776532001897,0.77578125,0.7781021301175507
200,0.15595271334052085,0.15219642232421418,0.76875,0.7778000730863759
300,0.1553428888320923,0.15210415338966207,0.773828125,0.778350249142714
400,0.15346085257828235,0.15199587808948167,0.77609375,0.778350249142714
500,0.1560610492527485,0.15246084049134187,0.77265625,0.7776619892724803
600,0.15746859811246394,0.15181750604804134,0.769453125,0.778350249142714
700,0.15784512005746365,0.15178809094596918,0.76375,0.7795606364666576
800,0.15387454703450204,0.15163152769837582,0.773203125,0.7786803547765168
900,0.15801517754793168,0.15155581584278965,0.76359375,0.7777180856382343
1000,0.15682586446404456,0.15144180118198125,0.770625,0.7790104604103196
1100,0.15367819733917712,0.15137669328652636,0.776328125,0.778900425199052
1200,0.15529027067124843,0.15139616606101183,0.77296875,0.7791485433847132
1300,0.1547813007235527,0.15114662617864744,0.77140625,0.7795886842297836
1400,0.15435634240508078,0.15108136664813673,0.7741718751192093,0.7787084025396428
1500,0.15555558040738104,0.1509774388142035,0.770703125,0.7795886842297836
1600,0.15420545034110547,0.15090606581996863,0.772421875,0.7801388602861217
1700,0.15439331717789173,0.15088401577422317,0.775390625,0.7796987194410512
1800,0.15265324637293815,0.15073490268747572,0.776796875,0.7809091067649949
1900,0.15490223109722137,0.15081848466480283,0.773515625,0.780028825074854
2000,0.1555850449949503,0.1505839121593556,0.772734375,0.7801388602861217
2100,0.15311061829328537,0.15065626674134966,0.772734375,0.7798626934978324
2200,0.15456084549427032,0.1504945456981659,0.77125,0.7802488954973893
2300,0.15842131182551383,0.15038474082527026,0.7634375,0.78112917718753
2400,0.15333225563168526,0.15033350192325215,0.778671875,0.7810191419762624
2500,0.15440651409327985,0.15023531869683468,0.775703125,0.7814592828213329
2600,0.15609550684690476,0.15016937749066822,0.770234375,0.7813492476100653
2700,0.15327342018485068,0.1500346068765076,0.7753750002384185,0.7818994236664033
2800,0.1540148640424013,0.15010072500772878,0.773046875,0.7820094588776709
2900,0.1538133769482374,0.14994299946956233,0.774140625,0.7821194940889385
3000,0.15218901447951794,0.14984806039383713,0.778671875,0.7817893884551357
3100,0.15039548620581628,0.14976246560543355,0.783515625,0.7822295293002062
3200,0.15423038139939307,0.1502432677317673,0.771484375,0.7797246105234388
3300,0.1540949822217226,0.14966811092806534,0.776796875,0.7823395645114738
3400,0.1532163593918085,0.14962477048098202,0.7725,0.7829997757790794
3500,0.152889404296875,0.14949902545818142,0.7728125,0.7828897405678118
3600,0.1551539098471403,0.14946894547049427,0.770625,0.7828897405678118
3700,0.156151187941432,0.14935304791154996,0.770625,0.7833298814128822
3800,0.1527649614214897,0.14932588739714153,0.779375,0.7833298814128822
3900,0.15377606503665447,0.14933612617388578,0.7759375,0.7835499518354174
4000,0.15193760097026826,0.1491344455682056,0.780390625,0.7837700222579527
4100,0.15243672400712968,0.1490706016480083,0.7790468752384185,0.7832198462016146
4200,0.1531218648701906,0.14906998094118817,0.776875,0.784210163103023
4300,0.1521624904125929,0.14894084936716187,0.779609375,0.7838800574692202
4400,0.15096309065818786,0.1488493884533224,0.780703125,0.7838800574692202
4500,0.15302604205906392,0.14883754685731002,0.7790625,0.7838800574692202
4600,0.15246886886656286,0.14880712959967868,0.774140625,0.784210163103023
4700,0.15286457546055318,0.1487532068096416,0.77609375,0.7835499518354174
4800,0.15351856201887132,0.148721602076376,0.774375,0.7846503039480934
4900,0.1522686157375574,0.14859663590159214,0.775390625,0.7843201983142907
5000,0.15502999491989614,0.14852255635278325,0.770078125,0.784210163103023
