iter,l_tr,l_te,acc_tr,acc_te
100,0.13918346539139748,0.1300047397823401,0.800390625,0.8128473666352285
200,0.1326799276471138,0.12266028221224395,0.80609375,0.8266859121725593
300,0.12385779418051243,0.11997642693385271,0.824375,0.8305651931695535
400,0.11977500341832638,0.11792772515139109,0.830625,0.8329859678174408
500,0.12047812521457672,0.1155881705418439,0.83140625,0.8392860226228204
600,0.11687390655279159,0.11506907494974808,0.835390625,0.8374693628767846
700,0.11898512810468674,0.11576490880737841,0.833515625,0.8358188347077705
800,0.11435669675469398,0.11301687538204058,0.835234375,0.8391479396484267
900,0.11883922323584556,0.11163583481815499,0.831015625,0.8445677127636654
1000,0.11412934727966785,0.11113655619638067,0.840859375,0.8463563247465752
1100,0.11171898625791073,0.10894521231382666,0.84375,0.8481988747354964
1200,0.10998788431286811,0.10904784878374825,0.84640625,0.8494912495075817
1300,0.10882308065891266,0.10844548670968539,0.84796875,0.848859086003102
1400,0.10783301368355751,0.10845235079317025,0.8491718751192093,0.8499594381157781
1500,0.10781557939946651,0.10739699598978943,0.8484375,0.8503995789608485
1600,0.1061756270378828,0.10636503265147478,0.852109375,0.8503995789608485
1700,0.1040176623687148,0.10611421205628087,0.85890625,0.8510597902284541
1800,0.10356042951345444,0.105745016216812,0.85671875,0.8543608465664824
1900,0.10345243282616139,0.10685802424247835,0.8546875,0.8516380148874202
2000,0.1044784202054143,0.10534033908600539,0.85640625,0.8554892472817864
2100,0.10377857942134142,0.1049001876946906,0.857109375,0.8560674711012505
2200,0.10620388451963664,0.10460513006423561,0.848984375,0.8561775063125181
2300,0.10762739896774293,0.10509970212276552,0.849296875,0.8571958718165545
2400,0.10189552180469036,0.10404541506104066,0.86046875,0.8570577880026589
2500,0.10202645249664784,0.10348140647713568,0.857109375,0.8580481049040674
2600,0.10171163693070412,0.10352971200162256,0.8584375,0.858158140115335
2700,0.10145601779222488,0.10344240824941178,0.8597968751192093,0.8560394233381244
2800,0.09706612844020128,0.1036600707177545,0.866484375,0.8553792120705188
2900,0.10140483189374208,0.10323234432390038,0.859296875,0.8569477527913912
3000,0.09650744542479515,0.1036991594018231,0.868203125,0.8562875415237856
3100,0.09813389733433724,0.10269334817856131,0.8653125,0.8582681753266026
3200,0.09968339141458273,0.10295899464210993,0.862890625,0.8571678232139265
3300,0.09817258633673191,0.10308903723325528,0.86484375,0.8577179992702645
3400,0.09831002421677112,0.10318819003205904,0.86578125,0.8574979288477294
3500,0.10001811414957046,0.10266218638755906,0.859765625,0.8588183513829406
3600,0.10243397951126099,0.1023430987457994,0.858046875,0.8584882457491377
3700,0.10046215068548918,0.10235636534405426,0.8628125,0.859258492228011
3800,0.09741199500858784,0.10229935229454241,0.8653125,0.8588183513829406
3900,0.09833303596824408,0.10224659426111571,0.86578125,0.8591484570167434
4000,0.09620348133146762,0.10226613944265205,0.868828125,0.8589283865942082
