iter,l_tr,l_te,acc_tr,acc_te
100,0.23485084384679794,0.22464222729206085,0.63859375,0.68265625
200,0.21986992061138153,0.2146090942621231,0.67828125,0.67796875
300,0.21528243973851205,0.20651977598667146,0.6771875,0.70875
400,0.2080637875199318,0.19974845558404922,0.68671875,0.7175
500,0.19984039351344107,0.19373315840959549,0.70328125,0.72125
600,0.1954629185795784,0.1887814062833786,0.71046875,0.72625
700,0.1929825745522976,0.18507245510816575,0.71171875,0.73
800,0.18849093049764634,0.18150198072195053,0.721875,0.733125
900,0.18438878431916236,0.17849354013800622,0.7265625,0.7378125
1000,0.18318113535642624,0.17621727004647256,0.72546875,0.740625
1100,0.1820651288330555,0.17400915458798408,0.72953125,0.74859375
1200,0.17722520366311073,0.17208230286836623,0.74328125,0.74421875
1300,0.1757357607781887,0.16983029946684838,0.7415625,0.7521875
1400,0.17304169043898582,0.16810845866799354,0.74234375,0.75515625
1500,0.17420252203941344,0.16677385658025742,0.7425,0.7584375
1600,0.17362380430102348,0.16548217415809632,0.74328125,0.7603125
1700,0.1727986116707325,0.164328253865242,0.73890625,0.763125
1800,0.16966817520558833,0.16321671545505523,0.751875,0.76484375
1900,0.16999297745525838,0.16207541525363922,0.7525,0.7646875
2000,0.1651483529806137,0.161101248934865,0.75921875,0.76671875
2100,0.15099344916641713,0.13568690918385984,0.7796875,0.80515625
2200,0.13087950080633162,0.12734030112624167,0.81625,0.820625
2300,0.13216952048242092,0.1255635629221797,0.8125,0.82453125
2400,0.12354076102375984,0.12168193273246289,0.82515625,0.8296875
2500,0.1267655997723341,0.1237973952293396,0.821875,0.82375
2600,0.12309696983546019,0.11833359107375145,0.82390625,0.8334375
2700,0.11993239782750606,0.11762077316641807,0.8328125,0.83484375
2800,0.11858131539076566,0.11658078290522099,0.83453125,0.83703125
2900,0.11745141088962555,0.11668845418840647,0.8365625,0.8365625
3000,0.11364943154156208,0.11514002613723279,0.84203125,0.83984375
3100,0.12050781648606063,0.11485030323266983,0.83109375,0.840625
3200,0.11229008335620165,0.1142522768676281,0.8403125,0.84171875
3300,0.115263826623559,0.11418529685586691,0.83703125,0.84
3400,0.11446221306920051,0.11329328309744596,0.84046875,0.84078125
3500,0.12011820398271084,0.1126237877830863,0.83015625,0.84140625
3600,0.11182631470263005,0.11247836619615555,0.84328125,0.8421875
3700,0.11608423583209515,0.1126685968786478,0.83625,0.84203125
3800,0.11710931193083525,0.11226493932306766,0.83296875,0.8421875
3900,0.1136849570646882,0.11207031428813935,0.84265625,0.8428125
4000,0.11079478982836008,0.1119990898296237,0.846875,0.8425
