iter,l_tr,l_te,acc_tr,acc_te
100,0.15106806933879852,0.14849595305785326,0.781640625,0.7848703743706287
200,0.15197409480810165,0.14837592084642867,0.779765625,0.7852004800044315
300,0.15094040282070637,0.14836082859358318,0.779140625,0.784760339159361
400,0.14954686537384987,0.14827234161571717,0.783984375,0.7855305856382343
500,0.15362040773034097,0.1487653419165544,0.775078125,0.7828616928046858
600,0.15232822209596633,0.14819563306133512,0.77703125,0.7852004800044315
700,0.153565194606781,0.1482018844132692,0.773984375,0.7850623970300379
800,0.1506129489839077,0.1481281114925801,0.78125,0.7849523618187703
900,0.15397771276533603,0.1480865941291124,0.77296875,0.7852004800044315
1000,0.154247684776783,0.14801083620585187,0.771875,0.7853925026638408
1100,0.151834509447217,0.14800255294416992,0.779453125,0.7848423266075026
1200,0.15242756344377995,0.14802518067225603,0.7803125,0.7855305856382343
1300,0.15177101284265518,0.1478398630106953,0.773828125,0.7856406208495019
1400,0.1504406861960888,0.14776431622219757,0.7811250001192093,0.7863008321171076
1500,0.15261429645121097,0.1477335918117577,0.776796875,0.7861907969058399
1600,0.15090814143419265,0.1476757835964082,0.7765625,0.7866309377509104
1700,0.15043580688536168,0.147632344193022,0.78125,0.7867409729621779
1800,0.1488290547579527,0.14760776735107664,0.786015625,0.7866309377509104
1900,0.15340337619185448,0.14765191204111341,0.77453125,0.7857506560607695
2000,0.1525675878673792,0.14756084600804556,0.775546875,0.7854205504269667
