iter,l_tr,l_te,acc_tr,acc_te
100,0.21398808151483537,0.20516401592274786,0.6771875,0.6931786805811063
200,0.20322046279907227,0.19751122719805006,0.696328125,0.7150756876233598
300,0.19668474972248076,0.19183152326395814,0.70828125,0.7219798573305909
400,0.19541517332196234,0.18719435703586523,0.703515625,0.7301224629643938
500,0.19043962821364402,0.1835189016771988,0.714921875,0.7327913566374443
600,0.18685726970434188,0.18023266045140549,0.717890625,0.7377429411444866
700,0.1837352779507637,0.1771487979821756,0.72359375,0.7409598525141327
800,0.1794575910270214,0.1748734093467954,0.731328125,0.7447571460629853
900,0.1760855334997177,0.1722604558921196,0.742265625,0.7468197673139437
1000,0.17647342160344123,0.17040454396899318,0.738046875,0.7490485193024219
1100,0.17176913022994994,0.1684553015609862,0.74484375,0.7521575538205428
1200,0.17341533318161964,0.1669926559421378,0.74015625,0.7550184693135006
1300,0.17115214392542838,0.1655439318905414,0.74484375,0.7587877142597252
1400,0.17250509992241858,0.164386950957943,0.7433125001192092,0.7604662910313673
1500,0.16842087268829345,0.16329092647827848,0.753359375,0.7609064318764378
1600,0.16509618878364563,0.16222201014908266,0.75984375,0.7644275586370012
1700,0.16868277847766877,0.16184544563293457,0.75,0.7633552542874511
1800,0.1677214714884758,0.16063927932524344,0.75515625,0.7669583684961561
1900,0.16626549422740936,0.15947548772247744,0.753046875,0.7686930407940502
2000,0.16438099585473537,0.15909946332095373,0.757421875,0.768416874005761
2100,0.16215094715356826,0.15851269809293075,0.762421875,0.7693252042985298
2200,0.16375650316476822,0.15751385657300412,0.756328125,0.7702335337517967
2300,0.16008288465440274,0.1571689831538939,0.7646875,0.7711138154419375
2400,0.16077895797789096,0.15637125379182923,0.763359375,0.77100378023067
2500,0.1610326139628887,0.15604574180824657,0.762265625,0.772104132343346
2600,0.16116033397614957,0.15562760871900638,0.761484375,0.7732864719041637
2700,0.16264479145407676,0.154999106807608,0.7538125002384186,0.7743868240168397
2800,0.16084628716111182,0.15454887399371242,0.764453125,0.7746068944393749
2900,0.15750521443784238,0.15469020111879833,0.770703125,0.774276788805572
3000,0.1603711773455143,0.15382605518253756,0.75953125,0.7756252591039093
3100,0.145024419054389,0.132615740975024,0.791953125,0.8112809825950945
3200,0.12978770054876804,0.12335783505523709,0.814140625,0.826908140115335
3300,0.12659239619970322,0.11924518865179008,0.821640625,0.832133733890426
3400,0.12480267889797687,0.11687255105082418,0.82328125,0.8370033317888287
3500,0.12307527028024197,0.11495104211736733,0.8259375,0.8398922950449125
3600,0.12087779097259045,0.11480864137411118,0.8265625,0.8396722246223772
3700,0.11508092477917671,0.11334167840615125,0.836875,0.842533140115335
3800,0.11501984976232052,0.11293653808009456,0.837890625,0.8409645993944624
3900,0.11493123777210712,0.11097751704739853,0.836015625,0.8437435274392786
4000,0.11401049681007862,0.11056055558819167,0.83671875,0.8474027380137377
4100,0.11170818924903869,0.11023597545187239,0.841328125,0.846742526746132
4200,0.11486857250332833,0.1096686377701625,0.839765625,0.8468245133547716
4300,0.11047585766762495,0.10879066282174957,0.845390625,0.8481449358899829
4400,0.11218140795826911,0.10896308657149194,0.8405781251192093,0.8459442316646307
4500,0.10730160906910896,0.1089101590111222,0.8509375,0.8480349006787152
4600,0.10706431418657303,0.10846375705490649,0.84953125,0.8495753936364617
4700,0.10652968019247055,0.10867869297803288,0.853359375,0.8492733366052869
4800,0.11191481985151767,0.10803889010993528,0.841875,0.8493553232139265
4900,0.10807688847184181,0.1077944721344491,0.8478125,0.850345640115335
5000,0.10806856706738471,0.10778503455746342,0.848125,0.8499054992702645
